物件名,住所,交通,築年数,部屋名,賃料,敷金,礼金,占有面積,間取り,所在階,向き,画像
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.6万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,7階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101238%252F1%252F1%252Fewhv.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.6万円(12,500円)",1ヶ月,1ヶ月,55.42m²,2LDK,8階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101206%252F1%252F1%252Frq42.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.7万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,8階,西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101227%252F1%252F1%252F46ag.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.7万円(12,500円)",1ヶ月,1ヶ月,55.42m²,2LDK,9階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101207%252F1%252F1%252Fp2ir.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.8万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,9階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101229%252F1%252F1%252Fx161.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.8万円(12,500円)",1ヶ月,1ヶ月,55.42m²,2LDK,10階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101211%252F1%252F1%252Fci6g.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.9万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,10階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101220%252F1%252F1%252Falq9.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"18.9万円(12,500円)",1ヶ月,1ヶ月,55.42m²,2LDK,11階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101212%252F1%252F1%252Fc9nv.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19万円(12,500円)",1ヶ月,1ヶ月,55.74m²,2LDK,7階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101244%252F1%252F1%252Fe34u.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,11階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101221%252F1%252F1%252Fqtqi.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19万円(12,500円)",1ヶ月,1ヶ月,55.42m²,2LDK,12階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101215%252F1%252F1%252F5zx0.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.1万円(12,500円)",1ヶ月,1ヶ月,55.74m²,2LDK,8階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101245%252F1%252F1%252F5nwd.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.1万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,12階,西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101223%252F1%252F1%252Fhwtx.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.1万円(12,500円)",1ヶ月,1ヶ月,55.42m²,2LDK,13階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101216%252F1%252F1%252Fhg3b.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.2万円(12,500円)",1ヶ月,1ヶ月,56.28m²,2LDK,13階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101225%252F1%252F1%252Fww6h.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.3万円(12,500円)",1ヶ月,1ヶ月,55.74m²,2LDK,10階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101231%252F1%252F1%252Flc3z.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.4万円(12,500円)",1ヶ月,1ヶ月,55.74m²,2LDK,11階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101230%252F1%252F1%252F7do1.jpg&width=100&height=100
パピルス三ノ輪レジデンス,東京都荒川区東日暮里1丁目11番,都電荒川線 三ノ輪橋駅 徒歩 4 分,2025年4月,パピルス三ノ輪レジデンス,"19.5万円(12,500円)",1ヶ月,1ヶ月,55.74m²,2LDK,12階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F145248%252Frent%252F101232%252F1%252F1%252F2iy0.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0501,"10.4万円(15,000円)",無,無,25.86m²,ワンルーム,5階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F38056%252F1%252F2%252F4k7l.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0502,"10.5万円(15,000円)",無,無,25.86m²,ワンルーム,5階,南西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F37918%252F1%252F2%252Flci2.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0601,"10.5万円(15,000円)",無,無,25.86m²,ワンルーム,6階,南西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F38054%252F1%252F2%252F6xs1.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 502,"10.9万円(15,000円)",無,無,25.86m²,ワンルーム,5階,南西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F105197%252Frent%252F322516%252F1%252F2%252Fmx1y.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0502,"11万円(15,000円)",無,無,25.86m²,ワンルーム,5階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F37917%252F1%252F2%252Fe07f.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0601,"11万円(15,000円)",無,無,25.86m²,ワンルーム,6階,南西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F38053%252F1%252F2%252Fla03.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里,"11.4万円(15,000円)",無,無,25.86m²,ワンルーム,5階,南西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F132062%252Frent%252F309693%252F1%252F2%252F5hvl.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里,"11.5万円(15,000円)",無,無,25.86m²,ワンルーム,6階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F132062%252Frent%252F309694%252F1%252F2%252Fkzj9.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0502,"11.9万円(15,000円)",無,無,25.86m²,ワンルーム,5階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttps%253A%252F%252Fimg.apamanshop.com%252Ffs%252FOriginal%252Fimg%252Fimages%252F5134920100%252F18888901_11_D14620_M1.jpg%253Fsr.dw%253D431%2526sr.dh%253D431&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里,"21万円(15,000円)",無,無,54.92m²,1SLDK,8階,南西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F636adb07-e903-48a9-820b-6af81294734e_property_picture_4104_large.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 1301,"22万円(15,000円)",無,無,54.92m²,1SLDK,13階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F38058%252F1%252F2%252Fabit.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 0801,"23万円(15,000円)",無,無,54.92m²,1SLDK,8階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F38239%252F1%252F2%252Fxadp.jpg&width=100&height=100
ミレドゥーエ日暮里,東京都荒川区西日暮里2丁目40番8号,JR山手線 西日暮里駅 徒歩 4 分,2023年5月,ミレドゥーエ日暮里 1301,"24万円(15,000円)",無,無,54.92m²,1SLDK,13階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F133626%252Frent%252F38057%252F1%252F2%252Fslp0.jpg&width=100&height=100
S-RESIDENCE尾久azure,東京都荒川区西尾久4丁目,JR山手線 田端駅 徒歩 10 分,2023年9月,S-RESIDENCE 尾久azure,"12.4万円(10,000円)",1ヶ月,無,25.09m²,1DK,4階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F3d9a2cc9-65ee-4e79-95c3-3d3aad44bec9_property_picture_4104_large.jpg&width=100&height=100
S-RESIDENCE尾久azure,東京都荒川区西尾久4丁目,JR山手線 田端駅 徒歩 10 分,2023年9月,S-RESIDENCE 尾久azure,"12.5万円(10,000円)",1ヶ月,無,25.09m²,1DK,6階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F6d6864c5-a519-40f7-a0c7-1f5bbdd7edb9_property_picture_4104_large.jpg&width=100&height=100
S-RESIDENCE尾久azure,東京都荒川区西尾久4丁目,JR山手線 田端駅 徒歩 10 分,2023年9月,S-RESIDENCE尾久azure,"20.2万円(15,000円)","202,000円",無,50.22m²,2LDK,12階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F103587%252Frent%252F25225%252F1%252F1%252Fnex8.jpg&width=100&height=100
S-RESIDENCE尾久azure,東京都荒川区西尾久4丁目,JR山手線 田端駅 徒歩 10 分,2023年9月,Ｓ−ＲＥＳＩＤＥＮＣＥ尾久ａｚｕｒｅ 901,"21万円(15,000円)","210,000円",無,50.22m²,2LDK,9階,-,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F93fc1c59-a0e7-44fa-8590-8c2e243d589e_property_picture_688_large.jpg&width=100&height=100
S-RESIDENCE尾久azure,東京都荒川区西尾久4丁目,JR山手線 田端駅 徒歩 10 分,2023年9月,S-RESIDENCE尾久azure 1201,"21.1万円(15,000円)","211,000円",無,50.22m²,2LDK,12階,-,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttps%253A%252F%252Fimg-dk.s3-ap-northeast-1.amazonaws.com%252Fimg%252Froom%252F5081%252F5081137%252F5081137_1.jpg&width=100&height=100
ロイジェント三ノ輪,東京都荒川区南千住1丁目15番4号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2023年8月,ロイジェント三ノ輪 1101,"20.6万円(15,000円)",1ヶ月,無,50.1m²,1LDK,11階,北西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F119671%252Frent%252F8210%252F1%252F2%252Fkwan.jpg&width=100&height=100
ロイジェント三ノ輪,東京都荒川区南千住1丁目15番4号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2023年8月,ロイジェント三ノ輪 602,"20.6万円(15,000円)",1ヶ月,無,51.66m²,1LDK,6階,南東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F150538%252Frent%252F64683%252F1%252F1%252F8ayg.jpg&width=100&height=100
ロイジェント三ノ輪,東京都荒川区南千住1丁目15番4号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2023年8月,ロイジェント三ノ輪 702,"20.7万円(15,000円)",1ヶ月,無,51.66m²,1LDK,7階,南東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F119671%252Frent%252F8212%252F1%252F2%252Fp8jj.jpg&width=100&height=100
ロイジェント三ノ輪,東京都荒川区南千住1丁目15番4号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2023年8月,ロイジェント三ノ輪 1202,"21.2万円(15,000円)",1ヶ月,無,51.66m²,1LDK,12階,南東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F150538%252Frent%252F64696%252F1%252F1%252F2fzz.jpg&width=100&height=100
ロイジェント三ノ輪,東京都荒川区南千住1丁目15番4号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2023年8月,ロイジェント三ノ輪 1302,"21.4万円(15,000円)",1ヶ月,無,51.66m²,1LDK,13階,南東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F119671%252Frent%252F8208%252F1%252F2%252Fr2r9.jpg&width=100&height=100
クレヴィアリグゼ日暮里,東京都荒川区東日暮里6丁目45番2号,JR山手線 日暮里駅 徒歩 6 分,2018年8月,クレヴィアリグゼ日暮里 502,"12.5万円(10,000円)",1ヶ月,1ヶ月,25.01m²,1DK,5階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F7d17aac4-20de-4fac-a984-4537761753e0_property_picture_688_large.jpg&width=100&height=100
クレヴィアリグゼ日暮里,東京都荒川区東日暮里6丁目45番2号,JR山手線 日暮里駅 徒歩 6 分,2018年8月,クレヴィアリグゼ日暮里 903,"13.3万円(10,000円)",1ヶ月,無,25.05m²,1LDK,9階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F128814%252Frent%252F249576%252F1%252F2%252Frm61.jpg&width=100&height=100
日神パレステージ,東京都荒川区西尾久4丁目25番10号,JR東北本線(宇都宮線) 尾久駅 徒歩 5 分,2010年8月,日神パレステージ田端,"17.5万円(12,000円)",1ヶ月,1ヶ月,50.88m²,2LDK,9階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F149690%252Frent%252F29666%252F1%252F2%252Fwll4.jpg&width=100&height=100
日神パレステージ田端,東京都荒川区西尾久4丁目25番10号,JR東北本線(宇都宮線) 尾久駅 徒歩 7 分,2010年9月,日神パレステージ田端,"17.5万円(12,000円)",1ヶ月,1ヶ月,50.88m²,2LDK,9階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F149690%252Frent%252F29666%252F1%252F2%252Fwll4.jpg&width=100&height=100
クレア田端プレミアレジデンス,東京都荒川区東尾久3丁目28番5号,都電荒川線 熊野前駅 徒歩 3 分,2014年6月,クレア田端プレミアレジデンス,"8.5万円(15,000円)","85,000円","85,000円",25.48m²,1K,7階,北,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F103587%252Frent%252F25240%252F1%252F1%252F0ao5.jpg&width=100&height=100
クレア田端プレミアレジデンス,東京都荒川区東尾久3丁目28番5号,都電荒川線 熊野前駅 徒歩 3 分,2014年6月,クレア田端プレミアレジデンス,"18.5万円(15,000円)",1ヶ月,1ヶ月,50.17m²,2LDK,4階,北,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F460fec7b-ece4-4b71-87ec-a10f82940309_property_picture_4104_large.jpg&width=100&height=100
アピス日暮里,東京都荒川区東日暮里6丁目60番6号,JR京浜東北線 日暮里駅 徒歩 2 分,2002年12月,アピス日暮里,"16.8万円(10,000円)",1ヶ月,1ヶ月,51.64m²,1LDK,8階,南,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttps%253A%252F%252Fimg-dk.s3-ap-northeast-1.amazonaws.com%252Fimg%252Froom%252F5291%252F5291123%252F5291123_1.jpg&width=100&height=100
フェルクルールプレスト三ノ輪駅前,東京都荒川区南千住1丁目15番5号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2016年5月,フェルクルールプレスト三ノ輪駅前,"8万円(15,000円)",無,無,26.49m²,1K,3階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F151480%252Frent%252F47411%252F1%252F2%252Fptez.jpg&width=100&height=100
フェルクルールプレスト三ノ輪駅前,東京都荒川区南千住1丁目15番5号,都電荒川線 三ノ輪橋駅 徒歩 1 分,2016年5月,フェルクルールプレスト三ノ輪駅前,"17.2万円(11,000円)",無,1ヶ月,46.45m²,1LDK,5階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F121462%252F1%252F1%252Frjg0.jpg&width=100&height=100
アルテシモリンククロス,東京都荒川区西日暮里2丁目47番5号,JR山手線 西日暮里駅 徒歩 3 分,2009年2月,ＡＲＴＥＳＳＩＭＯ　ＬＩＮＫ　ＣＲＯＳＳ 1103,"10.1万円(15,000円)",1ヶ月,1ヶ月,25.01m²,ワンルーム,11階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F147153%252Frent%252F21396%252F1%252F1%252F6mgb.jpg&width=100&height=100
レジェンド日暮里,東京都荒川区東日暮里5丁目48番3号,京成本線 日暮里駅 徒歩 3 分,1992年10月,レジェンド日暮里,"9.8万円(5,000円)",1ヶ月,1ヶ月,30.2m²,1DK,10階,北東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F107918%252Frent%252F29090%252F1%252F1%252Fj30r.jpg&width=100&height=100
エクセレンス町屋駅前,東京都荒川区荒川7丁目38番5号,東京メトロ千代田線 町屋駅 徒歩 2 分,1982年12月,エクセレンス町屋駅前 304号室,"14.5万円(7,000円)",1ヶ月,1ヶ月,54m²,2LDK,3階,南東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F147121%252Frent%252F34%252F1%252F2%252F3hoc.png&width=100&height=100
グラントゥルース田端,東京都荒川区西尾久4丁目25番9号,JR東北本線(宇都宮線) 尾久駅 徒歩 5 分,2009年6月,JR高崎線 尾久駅 徒歩5分,"9.9万円(12,000円)",無,無,25.16m²,1K,7階,南西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F101709%252Frent%252F134065%252F1%252F2%252Fswq7.jpg&width=100&height=100
クレヴィア南千住リバーサイドツイン,東京都荒川区南千住7丁目23番,JR常磐線(上野～取手) 南千住駅 徒歩 9 分,2021年1月,クレヴィア南千住RIVER SIDE TWIN EAST,"24.8万円(10,000円)",1ヶ月,1ヶ月,60.2m²,2LDK,12階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fcbebb5a0-4840-4416-8678-f597787a8d32_property_picture_4104_large.jpg&width=100&height=100
クレヴィア南千住リバーサイドツインイースト,東京都荒川区南千住7丁目23番22号,JR常磐線(上野～取手) 南千住駅 徒歩 8 分,2021年1月,クレヴィア南千住RIVER SIDE TWIN EAST,"24.8万円(10,000円)",1ヶ月,1ヶ月,60.2m²,2LDK,12階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fcbebb5a0-4840-4416-8678-f597787a8d32_property_picture_4104_large.jpg&width=100&height=100
サンクレイドル西日暮里2,東京都荒川区西日暮里6丁目,日暮里・舎人ライナー 西日暮里駅 徒歩 5 分,2024年3月,サンクレイドル西日暮里II 503,"25.5万円(15,000円)",1ヶ月,1ヶ月,50.52m²,2LDK,5階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F128814%252Frent%252F286165%252F1%252F1%252Fgd08.jpg&width=100&height=100
